Microbial species or host cell-type	Family	Phylum	Taxon_ID	Stain	Pathogeneticity
Acidothermus cellulolyticus	Acidothermaceae	Actinomycetota	351607	+	No
Actinomyces urogenitalis	Actinomycetaceae	Actinomycetota	103621	+	Pathogen
Atopobium parvulum	Atopobiaceae	Actinomycetota	521095	+	No
Atopobium rimae	Atopobiaceae	Actinomycetota	1383	+	
Atopobium vaginae	Atopobiaceae	Actinomycetota	82135	+	
Bifidobacterium adolescentis	Bifidobacteriaceae	Actinomycetota	367928	+	Pathogen
Bifidobacterium dentium	Bifidobacteriaceae	Actinomycetota	401473	+	Pathogen
Bifidobacterium angulatum	Bifidobacteriaceae	Actinomycetota	1683	+	
Bifidobacterium animalis	Bifidobacteriaceae	Actinomycetota	442563	+	No
Bifidobacterium bifidum	Bifidobacteriaceae	Actinomycetota	1681	+	No
Bifidobacterium breve	Bifidobacteriaceae	Actinomycetota	1685	+	Pathogen
Bifidobacterium gallicum	Bifidobacteriaceae	Actinomycetota	561180	+	
Bifidobacterium pseudocatenulatum	Bifidobacteriaceae	Actinomycetota	28026	+	
Cellulomonas flavigena	Cellulomonadaceae	Actinomycetota	446466	+	Pathogen
Collinsella intestinalis	Coriobacteriaceae	Actinomycetota	521003	+	
Collinsella stercoris	Coriobacteriaceae	Actinomycetota	445975	+	
Corynebacterium glutamicum	Corynebacteriaceae	Actinomycetota	196627	+	No
Corynebacterium diphtheriae	Corynebacteriaceae	Actinomycetota	257309	+	Pathogen
Eggerthella lenta	Eggerthellaceae	Actinomycetota	479437	+	Pathogen
Micrococcus luteus	Micrococcaceae	Actinomycetota	1232675	+	No
Mycobacterium avium	Mycobacteriaceae	Actinomycetota	262316	+	Pathogen
Mycobacterium leprae	Mycobacteriaceae	Actinomycetota	272631	+	Pathogen
Aeromicrobium marinum	Nocardioidaceae	Actinomycetota	585531	+	
Thermobifida fusca	Nocardiopsaceae	Actinomycetota	269800	+	No
Actinosynnema mirum	Pseudonocardiaceae	Actinomycetota	446462	+	No
Streptomyces viridochromogenes	Streptomycetaceae	Actinomycetota	591159	+	
Thermomonospora curvata	Thermomonosporaceae	Actinomycetota	471852	+	
Bacteroides thetaiotaomicron	Bacteroidaceae	Bacteroidota	226186	-	No
Bacteroides caccae	Bacteroidaceae	Bacteroidota	47678	-	
Bacteroides coprocola	Bacteroidaceae	Bacteroidota	470145	-	
Bacteroides coprophilus	Bacteroidaceae	Bacteroidota	547042	-	
Bacteroides eggerthii	Bacteroidaceae	Bacteroidota	483216	-	
Bacteroides fragilis	Bacteroidaceae	Bacteroidota	295405	-	Pathogen
Bacteroides helcogenes	Bacteroidaceae	Bacteroidota	693979	-	Pathogen
Bacteroides intestinalis	Bacteroidaceae	Bacteroidota	471870	-	Pathogen
Bacteroides ovatus	Bacteroidaceae	Bacteroidota	28116	-	
Bacteroides plebeius	Bacteroidaceae	Bacteroidota	310297	-	
Bacteroides salanitronis	Bacteroidaceae	Bacteroidota	667015	-	No
Bacteroides stercoris	Bacteroidaceae	Bacteroidota	46506	-	Pathogen
Cytophaga hutchinsonii	Cytophagaceae	Bacteroidota	269798	-	No
Flavobacterium johnsoniae	Flavobacteriaceae	Bacteroidota	376686	-	
Odoribacter splanchnicus	Odoribacteraceae	Bacteroidota	709991	-	
Porphyromonas asaccharolytica	Porphyromonadaceae	Bacteroidota	879243	-	Pathogen
Porphyromonas gingivalis	Porphyromonadaceae	Bacteroidota	242619	-	Pathogen
Prevotella amnii	Prevotellaceae	Bacteroidota	419005	-	Pathogen
Prevotella bivia	Prevotellaceae	Bacteroidota	28125	-	Pathogen
Prevotella bryantii	Prevotellaceae	Bacteroidota	77095	-	
Prevotella buccae	Prevotellaceae	Bacteroidota	873513	-	Pathogen
Prevotella buccalis	Prevotellaceae	Bacteroidota	679190	-	
Prevotella copri	Prevotellaceae	Bacteroidota	537011	-	
Prevotella disiens	Prevotellaceae	Bacteroidota	866771	-	
Prevotella marshii	Prevotellaceae	Bacteroidota	862515	-	
Prevotella multiformis	Prevotellaceae	Bacteroidota	888743	-	
Prevotella oralis	Prevotellaceae	Bacteroidota	28134	-	Pathogen
Prevotella oris	Prevotellaceae	Bacteroidota	649760	-	
Prevotella salivae	Prevotellaceae	Bacteroidota	888832	-	Pathogen
Prevotella timonensis	Prevotellaceae	Bacteroidota	1122992	-	Pathogen
Prevotella veroralis	Prevotellaceae	Bacteroidota	649761	-	
Alistipes putredinis	Rikenellaceae	Bacteroidota	28117	-	Pathogen
Alistipes shahii	Rikenellaceae	Bacteroidota	717959	-	Pathogen
Parabacteroides merdae	Tannerellaceae	Bacteroidota	46503	-	Pathogen
Parabacteroides distasonis	Tannerellaceae	Bacteroidota	435591	-	No
Bacteroides vulgatus	Bacteroidaceae	Bacteroidota	435590	+	No
Wolinella succinogenes	Helicobacteraceae	Campylobacterota	273121	-	No
Helicobacter pylori	Helicobacteraceae	Campylobacterota	85962	-	Pathogen
Thermus thermophilus	Thermaceae	Deinococcota	798128	-	No
Deinococcus radiodurans	Deinococcaceae	Deinococcota	243230	+	No
Fibrobacter succinogenes (Bacteroides succinogenes)	Fibrobacteraceae	Fibrobacterota	59374	-	No
Acidaminococcus fermentans	Acidaminococcaceae	Firmicutes	591001	-	Pathogen
Cellulosilyticum lentocellum	Cellulosilyticaceae	Firmicutes	642492	-	
Clostridium cellulovorans	Clostridiaceae	Firmicutes	573061	-	No
Syntrophobotulus glycolicus	Desulfitobacteriaceae	Firmicutes	645991	-	No
Eubacterium eligens	Lachnospiraceae	Firmicutes	515620	-	No
Lactobacillus ruminis	Lactobacillaceae	Firmicutes	1069534	-	No
Pseudoflavonifractor capillosus	Oscillospiraceae	Firmicutes	411467	-	
Bacteroides pectinophilus	Other	Firmicutes	483218	-	No
Desulfotomaculum reducens	Peptococcaceae	Firmicutes	349161	-	
Selenomonas flueggei	Selenomonadaceae	Firmicutes	638302	-	
Selenomonas noxia	Selenomonadaceae	Firmicutes	702437	-	
Selenomonas sputigena	Selenomonadaceae	Firmicutes	546271	-	
Syntrophothermus lipocalidus	Syntrophomonadaceae	Firmicutes	643648	-	No
Dialister invisus	Veillonellaceae	Firmicutes	592028	-	
Megasphaera micronuciformis	Veillonellaceae	Firmicutes	706434	-	Pathogen
Veillonella atypica	Veillonellaceae	Firmicutes	39777	-	Pathogen
Veillonella dispar	Veillonellaceae	Firmicutes	39778	-	Pathogen
Veillonella parvula	Veillonellaceae	Firmicutes	29466	-	Pathogen
Bacillus cereus	Bacillaceae	Firmicutes	526986	+	Pathogen
Bacillus mycoides	Bacillaceae	Firmicutes	1405	+	
Bacillus licheniformis	Bacillaceae	Firmicutes	279010	+	Pathogen
Bacillus pumilus	Bacillaceae	Firmicutes	315750	+	Pathogen
Caldicellulosiruptor saccharolyticus	Caldicellulosiruptoraceae	Firmicutes	351627	+	No
Non	Clostridiaceae	Firmicutes	272562	+	No
Clostridium beijerinckii	Clostridiaceae	Firmicutes	1520	+	No
Clostridium butyricum	Clostridiaceae	Firmicutes	1492	+	
Clostridium carboxidivorans	Clostridiaceae	Firmicutes	536227	+	
Clostridium kluyveri	Clostridiaceae	Firmicutes	431943	+	No
Clostridium ljungdahlii	Clostridiaceae	Firmicutes	748727	+	No
Clostridium novyi	Clostridiaceae	Firmicutes	386415	+	No
Clostridium tetani	Clostridiaceae	Firmicutes	212717	+	Pathogen
Pelotomaculum thermopropionicum	Desulfotomaculaceae	Firmicutes	370438	+	No
Desulfotomaculum nigrificans	Desulfotomaculaceae	Firmicutes	868595	+	No
Enterococcus gallinarum	Enterococcaceae	Firmicutes	1353	+	Pathogen
Enterococcus italicus	Enterococcaceae	Firmicutes	888064	+	
Holdemania filiformis	Erysipelotrichaceae	Firmicutes	545696	+	
Erysipelothrix rhusiopathiae	Erysipelotrichaceae	Firmicutes	1648	+	Pathogen
Eubacterium cellulosolvens	Eubacteriaceae	Firmicutes	633697	+	
Eubacterium limosum	Eubacteriaceae	Firmicutes	1736	+	No
Eubacterium saphenum	Eubacteriaceae	Firmicutes	592031	+	
Eubacterium ventriosum	Eubacteriaceae	Firmicutes	411463	+	
Acetohalobium arabaticum	Halobacteroidaceae	Firmicutes	574087	+	No
Anaerostipes caccae	Lachnospiraceae	Firmicutes	411490	+	
Butyrivibrio crossotus	Lachnospiraceae	Firmicutes	45851	+	
Butyrivibrio proteoclasticus	Lachnospiraceae	Firmicutes	515622	+	No
Clostridium hylemonae	Lachnospiraceae	Firmicutes	553973	+	
Clostridium scindens	Lachnospiraceae	Firmicutes	411468	+	
Clostridium symbiosum	Lachnospiraceae	Firmicutes	1512	+	
Coprococcus catus	Lachnospiraceae	Firmicutes	717962	+	
Coprococcus comes	Lachnospiraceae	Firmicutes	410072	+	
Coprococcus eutactus	Lachnospiraceae	Firmicutes	411474	+	
Dorea formicigenerans	Lachnospiraceae	Firmicutes	411461	+	
Dorea longicatena	Lachnospiraceae	Firmicutes	88431	+	
Eubacterium rectale	Lachnospiraceae	Firmicutes	515619	+	No
Marvinbryantia formatexigens	Lachnospiraceae	Firmicutes	168384	+	
Roseburia intestinalis	Lachnospiraceae	Firmicutes	166486	+	
Roseburia inulinivorans	Lachnospiraceae	Firmicutes	360807	+	
Ruminococcus gnavus	Lachnospiraceae	Firmicutes	33038	+	
Ruminococcus torques	Lachnospiraceae	Firmicutes	33039	+	
Blautia hansenii	Lachnospiraceae	Firmicutes	537007	+	
Ruminococcus lactaris	Lachnospiraceae	Firmicutes	1073376	+	
Lactobacillus brevis	Lactobacillaceae	Firmicutes	387344	+	No
Lactobacillus rhamnosus	Lactobacillaceae	Firmicutes	47715	+	No
Lactobacillus acidophilus	Lactobacillaceae	Firmicutes	272621	+	No
Lactobacillus amylolyticus	Lactobacillaceae	Firmicutes	83683	+	
Lactobacillus amylovorus	Lactobacillaceae	Firmicutes	1604	+	No
Lactobacillus antri	Lactobacillaceae	Firmicutes	525309	+	
Lactobacillus casei	Lactobacillaceae	Firmicutes	1582	+	No
Lactobacillus coleohominis	Lactobacillaceae	Firmicutes	575594	+	
Lactobacillus crispatus	Lactobacillaceae	Firmicutes	47770	+	No
Lactobacillus delbrueckii	Lactobacillaceae	Firmicutes	390333	+	No
Lactobacillus fermentum	Lactobacillaceae	Firmicutes	1613	+	No
Lactobacillus gasseri	Lactobacillaceae	Firmicutes	324831	+	No
Lactobacillus helveticus	Lactobacillaceae	Firmicutes	1587	+	No
Lactobacillus iners	Lactobacillaceae	Firmicutes	713605	+	Pathogen
Lactobacillus jensenii	Lactobacillaceae	Firmicutes	109790	+	Pathogen
Lactobacillus johnsonii	Lactobacillaceae	Firmicutes	33959	+	No
Lactobacillus oris	Lactobacillaceae	Firmicutes	944562	+	
Lactobacillus plantarum	Lactobacillaceae	Firmicutes	220668	+	No
Lactobacillus reuteri	Lactobacillaceae	Firmicutes	557436	+	No
Lactobacillus sakei	Lactobacillaceae	Firmicutes	314315	+	No
Lactobacillus salivarius	Lactobacillaceae	Firmicutes	362948	+	No
Lactobacillus ultunensis	Lactobacillaceae	Firmicutes	525365	+	
