CIDs,H_bond_donor,H_bond_acceptor,MWt,LogP,Metabolic_activity,QED
CIDs00000051,2,3,146.09799999999996,-0.4950999999999999,consumption,0.5216253022295051
CIDs00000058,1,2,102.08899999999998,0.0500999999999999,consumption,0.5009964994211065
CIDs00000119,2,2,103.121,-0.1900999999999998,both,0.520009216360191
CIDs00000138,2,2,117.14799999999998,0.2,production,0.5168472924546186
CIDs00000157,4,7,193.131,-4.619599999999998,consumption,0.3441702090271883
CIDs00000174,2,2,62.06800000000001,-1.029,both,0.407527890666417
CIDs00000175,0,2,59.044,-1.2438,both,0.3497740223042638
CIDs00000179,1,2,88.10600000000002,-0.0438,both,0.4878577781338866
CIDs00000180,0,1,58.08,0.5952999999999999,production,0.3982369618339747
CIDs00006027,4,5,150.13,-2.5823,consumption,0.3042503204978373
CIDs00000239,2,2,89.09399999999998,-0.5802,consumption,0.4753919445136942
CIDs00000242,0,2,121.11499999999997,0.0500999999999999,consumption,0.5263180674240564
CIDs00000244,1,1,108.13999999999996,1.1788999999999998,consumption,0.5723436119287516
CIDs00000247,0,2,117.14799999999998,-1.5574999999999983,consumption,0.4104086183653024
CIDs00000263,1,1,74.12299999999998,0.7787999999999999,both,0.5128217987135145
CIDs00000264,0,2,87.09799999999998,-0.4636,both,0.456754615595673
CIDs00000273,2,2,102.181,0.0741000000000001,production,0.4935749343084608
CIDs00000305,1,1,104.173,-0.3150999999999999,consumption,0.4761839314892425
CIDs00000311,1,7,189.099,-5.252599999999998,consumption,0.45490401855989
CIDs00000385,2,2,160.16899999999995,1.1061,consumption,0.5704599864153922
CIDs00000525,1,5,132.07099999999997,-3.7628,both,0.4245649191060507
CIDs00000527,0,1,58.08,0.5952999999999999,production,0.4032599029179279
CIDs00000604,5,7,195.147,-4.827799999999997,consumption,0.295982465098165
CIDs00000612,1,3,89.07,-1.8829,both,0.4085864124474562
CIDs00000700,2,2,61.084,-1.0626,consumption,0.4055784163621654
CIDs00000750,2,2,75.06700000000002,-0.9703,consumption,0.421170887936547
CIDs00000753,3,3,92.09399999999998,-1.6681,consumption,0.3814944322102413
CIDs00000757,2,2,76.051,-0.9367,consumption,0.4236140751255037
CIDs00000760,0,3,73.027,-2.0648,consumption,0.2645719777806331
CIDs00000767,1,2,61.01600000000001,-1.1123,consumption,0.3859178578026133
CIDs00000798,1,0,117.15099999999995,2.1678999999999995,both,0.5439155908694729
CIDs00000801,1,2,174.17899999999997,0.4602999999999995,both,0.7186354818740309
CIDs00000804,4,8,268.22900000000004,-2.2689,consumption,0.4822946675996651
CIDs00000811,2,2,130.099,0.1018999999999998,consumption,0.5311495161373545
CIDs00000854,4,5,150.13,-2.7397,consumption,0.3258384035161684
CIDs00000867,0,4,102.045,-3.1236999999999995,consumption,0.3452069462837255
CIDs00000892,6,6,180.156,-3.834599999999999,consumption,0.226957499104292
CIDs00000937,1,2,123.11099999999996,0.7797999999999998,both,0.5998689433499305
CIDs00000967,3,3,156.09699999999995,-1.2386,consumption,0.472751724776492
CIDs00000970,2,3,132.071,-0.8852000000000002,consumption,0.3837482662828922
CIDs00000971,0,4,88.01799999999999,-3.5138000000000003,consumption,0.2874079714038256
CIDs00000978,1,3,136.12999999999997,-0.3676999999999999,consumption,0.5355504482337935
CIDs00000996,1,1,94.11299999999996,1.3921999999999997,consumption,0.514729544768675
CIDs00000999,0,2,135.14199999999997,-0.0210000000000001,both,0.5713429347387614
CIDs00001001,1,1,121.183,1.1878,production,0.6245074471542004
CIDs00001030,2,2,76.095,-0.6405,both,0.4358349966110497
CIDs00001031,1,1,60.096,0.3887,both,0.4637839830239684
CIDs00001032,0,2,73.071,-0.8537000000000001,both,0.4051790062235931
CIDs00001045,2,2,88.15400000000002,-0.3159999999999996,both,0.464598962858402
CIDs00001050,2,4,167.16399999999996,0.4004200000000001,both,0.6253009937932186
CIDs00001060,0,3,87.05399999999999,-1.6747000000000003,both,0.3589653619490149
CIDs00001102,3,3,145.25,-0.3362999999999984,production,0.429543724540058
CIDs00001110,1,3,117.07999999999998,-1.3989,both,0.4928152329129362
CIDs00001123,2,3,125.149,-1.167099999999999,consumption,0.4556990896241571
CIDs00001130,2,5,265.362,0.60774,both,0.79412732636072
CIDs00001140,0,0,92.141,1.99502,consumption,0.4588062796575454
CIDs00001146,0,1,59.112,0.1777999999999999,both,0.3844627806876072
CIDs00001150,2,1,160.21999999999994,1.6690999999999996,production,0.6890236514433122
