taxon_id,totalproteins,totalec,proteinsbinding,ecbinding,Phylum
40041,1464,1038,490,281,firmicutes
56780,2019,1359,827,379,Thermodesulfobacteriota
59374,3320,1301,1869,441,Fibrobacterota
71421,1566,1040,317,230,Pseudomonadota
85962,1274,801,123,84,Campylobacterota
93061,2060,1480,762,437,firmicutes
160490,1437,936,534,288,firmicutes
169963,2366,1590,672,307,firmicutes
171101,1695,1104,590,323,firmicutes
176279,1869,1305,345,229,firmicutes
177437,3280,2128,182,90,Thermodesulfobacteriota
190485,3164,1975,1218,606,Pseudomonadota
196627,4352,1413,1270,393,Actinomycetota
198214,3986,2270,327,197,Pseudomonadota
203120,1526,1105,749,391,firmicutes
203123,1326,861,168,96,firmicutes
208964,4887,2909,1959,836,Pseudomonadota
210007,1548,1047,791,409,firmicutes
211110,1644,1140,710,383,firmicutes
212717,1871,1297,1319,573,firmicutes
216591,5159,3392,273,128,Pseudomonadota
218495,1501,1060,526,304,firmicutes
220668,2361,1534,1591,608,firmicutes
226186,2677,2132,1774,718,Bacteroidota
226900,3471,2462,188,135,firmicutes
242619,1265,857,91,63,Bacteroidota
243230,2132,1344,777,412,Deinococcota
243231,2429,1726,465,261,Thermodesulfobacteriota
243272,400,274,65,42,Mycoplasmatota
243273,351,232,42,29,Mycoplasmatota
243274,1550,984,466,263,Thermotogota
243277,2996,1914,317,181,Pseudomonadota
257314,1434,959,695,325,firmicutes
261317,350,223,225,130,Pseudomonadota
262316,3068,2344,214,111,Actinomycetota
262719,442,296,74,49,Mycoplasmatota
262723,444,313,92,63,Mycoplasmatota
262724,1678,1139,324,204,Deinococcota
264199,1522,971,711,370,firmicutes
264732,1876,1297,804,393,firmicutes
266834,2714,2516,530,314,Pseudomonadota
267748,452,316,75,45,Mycoplasmatota
269796,2878,1910,127,46,Pseudomonadota
269798,2101,1598,54,34,Bacteroidota
269799,2561,1819,1340,590,Thermodesulfobacteriota
269800,2116,1582,64,41,Actinomycetota
272562,2682,1789,1493,602,firmicutes
272563,2836,1974,1837,699,firmicutes
272620,4267,2815,2938,1187,Pseudomonadota
272621,1452,938,1085,462,firmicutes
272631,1270,950,91,62,Actinomycetota
272632,608,461,90,56,Mycoplasmatota
272633,598,426,93,56,Mycoplasmatota
272635,523,376,72,45,Mycoplasmatota
272942,2572,1699,491,270,Pseudomonadota
273119,437,278,39,22,Mycoplasmatota
273121,1708,1069,545,279,Campylobacterota
278197,1426,952,181,105,firmicutes
279010,6159,2281,420,114,firmicutes
279808,2016,1399,362,235,firmicutes
289397,512,336,74,46,Mycoplasmatota
290338,3808,2468,1897,917,Pseudomonadota
290402,3660,2544,1866,652,firmicutes
290633,1815,1171,92,69,Pseudomonadota
309803,1591,994,50,25,Thermotogota
314260,1873,1269,286,181,Pseudomonadota
314315,1492,998,444,268,firmicutes
315730,3415,2579,193,128,firmicutes
315750,2722,1996,282,138,firmicutes
319224,3059,1977,771,407,Pseudomonadota
322710,3777,2413,355,200,Pseudomonadota
324831,1349,880,732,342,firmicutes
326426,1471,976,1000,471,Actinomycetota
334413,1280,911,403,186,firmicutes
335543,2706,1885,1144,498,Thermodesulfobacteriota
338963,2372,1640,1603,651,Thermodesulfobacteriota
338966,2509,1720,1617,662,Thermodesulfobacteriota
